song,artist,20241105,20241029,20241022,20241015,20241008,20241001,20240924,20240917,20240910,20240903,20240827,20240823,20240820,20240813,20240806,20240730,20240723,20240716,20240709,20240702,20240625,20240618,20240616,20240611,20240604,20240521,20240519,20240514,20240507,20240430,20240416,20240414,20240409,20240402,20240325,20240319,20240312,20240310,20240305,20240227,20240220,20240213,20240206,20240204,20240130,20240123,20240116,20240109,20240102,20231219,20231212,20231210,20231205,20231128,20231121,20231114,20231107,20231031,20231024,20231017,20231010,20231003,20230926,20230919,20230912,20230905,20230829,20230822,20230815,20230808,20230801,20230725,20230718,20230711,20230704,20230627,20230620,20230613,20230606,20230530,20230523,20230516,20230509,20230502,20230425,20230418,20230411,20230404,20230328,20230321,20230314,20230307,20230228,20230221,20230214,20230207,20230131,20230124,20230117,20230110,20230103,20221227,20221220,20221213,20221206,20221129,20221122,20221115,20221108,20221101,20221025,20221018,20221011,20221004,20220927,20220920,20220913,20220906,20220830,20220823,20220419
Build Me Up Buttercup,The Foundations,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,8.0,7.0,,,,,,,16.0,,,,,,,,,,,,,,,,7.0,,6.0,6.0,11.0,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,14.0,,,,15.5,,,,,,,14.5,14.5,,,,,,,,17.0,16.0,,,
Burn The Witch,Queens Of The Stone Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C'est la Vie,B*Witched,,,,,,24.0,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,2.0,,,,,,,6.0,,,,,,,,21.0,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Californication,Red Hot Chilli Peppers,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Me,Blondie,,,,,,,,,,,,,,,,21.0,,,15.0,,,22.0,,,,,,,,,,,17.0,,,,,,,,,,10.0,,,,14.0,27.0,26.0,,,,,,16.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Call Me Maybe,Carly Rae Jepsen,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can't Get You out of My Head,Kylie Minogue,,,,17.0,,,,,,,5.0,,,,,,6.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,11.0,,,,8.0,8.0,,9.0,,14.0,,6.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candy,Paolo Nutini,,2.0,,,,4.0,10.0,,,,,,14.0,,16.0,,,21.0,,,,8.0,,,23.0,18.0,,,,,,,,,,,,,10.0,,5.0,9.0,1.0,19.0,,7.0,,,,,,,,,,,23.0,,,4.0,,,,,,,,,,7.0,13.0,,,,12.0,,,13.0,,,,,,20.0,15.0,,,4.0,,,,,,,4.0,,,,,18.0,,,,,,,15.0,,14.5,13.0,,,,,14.0,15.0,,,,14.0,
Chasing Cars,Snow Patrol,,,,6.0,,,,3.0,,25.0,,23.0,,,,,,,1.0,,,,3.0,,,17.0,5.0,,,5.0,23.0,3.0,13.0,4.0,,1.0,,,2.0,,,,,,8.0,,,15.0,,,,6.0,,,8.0,,,,,,5.0,,8.0,10.0,,6.0,,,,,15.0,,14.0,,,,,,,,,,27.0,7.0,,7.0,,26.0,,,13.5,,17.0,14.5,3.0,7.0,14.0,,,,,,,,,14.5,,,,,,13.5,,,,,,,,,15.0
Cheap Thrills,Sia,26.0,,,5.0,19.0,,,4.0,,,,,,,,6.0,4.0,,,,,,,6.0,,6.0,4.0,4.0,4.0,,,,5.0,19.0,21.0,,2.0,,,,,,,,,,,,9.0,,,,,12.0,,,10.0,,,,20.0,,23.0,20.0,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas (Baby Please Come Home),U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christmas In Las Vegas,Richard Cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,
Complicated,Avril Lavigne,,,,,,,,,,12.0,,,,,24.0,17.0,,,2.0,,,5.0,,,,,,,14.0,,,,,,,18.0,,,,15.0,,,,,,,,,17.0,,23.0,,,5.0,15.0,,,,,,17.0,,,,21.0,,,,8.0,,12.0,14.0,24.0,21.0,,,,,20.0,,,12.0,,,,,,,,,,4.0,,14.5,,,,,14.5,,,,,,,,,,,,,13.5,14.5,,,,,,13.0,,15.0
"Comptine d'un autre été, l'après-midi",Yann Tiersen,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crazy World,Aslan,,,,,,,,,,,,16.0,,,,,,,,,,,,,,19.0,,,,12.0,,,,,,26.0,,,,3.0,,,,9.0,10.0,,,,,,,,,,19.0,,8.0,,,,,,,11.0,,,5.0,,,,,,,19.0,4.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creep,Radiohead,,12.0,,,4.0,,8.0,,,3.0,,26.0,,8.0,21.0,,,5.0,,,,10.0,,4.0,4.0,12.0,3.0,13.0,6.0,,,,,,7.0,5.0,,,17.0,1.0,19.0,,23.0,,,,15.0,21.0,22.0,14.0,,18.0,,25.0,9.0,,,9.0,17.0,,,16.0,19.0,,23.0,,,12.0,22.0,,4.0,,23.0,5.0,23.0,,,21.0,7.0,14.0,7.0,,,,20.0,,20.0,28.0,,,,,20.0,14.5,5.0,,14.0,14.0,,,15.5,14.0,,,13.0,,,,,13.0,14.0,13.5,,,,,,,,,
Crocodile Rock,Elton John,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruel Summer,Taylor Swift,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crush,Jennifer Paige,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danger! High Voltage (Soulchild radio mix),Electric 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dearg Doom,Horslips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demons,Imagine Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,
Dirty Old Town,The Pogues,,,,,,,,6.0,22.0,,,,23.0,,,,20.0,22.0,,,,15.0,21.0,17.0,,,,16.0,,13.0,,,9.0,,,9.0,,,22.0,9.0,3.0,21.0,16.0,,15.0,10.0,5.0,,8.0,27.0,,,13.0,,7.0,14.0,,,,17.0,8.0,28.0,,,,,,,12.0,1.0,,,,,18.0,,,,,,,,,23.0,25.0,,,22.0,,,13.5,,3.0,,,,14.0,14.0,,11.0,,,13.5,14.5,,,,14.5,14.5,,14.0,,14.5,,14.0,,,,,,15.0
Do They Know It's Christmas?,Band Aid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,
Dog Days Are Over,Florence + The Machine,,,15.0,,11.0,,,,,,26.0,,,,8.0,13.0,1.0,15.0,,,,7.0,,16.0,,10.0,24.0,5.0,9.0,,12.0,4.0,8.0,2.0,,,17.0,,,,,,13.0,,,,3.0,,20.0,,,4.0,,27.0,23.0,20.0,,,,18.0,9.0,2.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Be a Dick at Christmas,Seán Carabini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,29.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,13.0,,,,,,,,,,,,,,,,
Don't Speak,No Doubt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Stop Me Now,Queen,,,,16.0,,,,25.0,,,,,,17.0,,,21.0,,7.0,,15.0,,,,20.0,,,,13.0,,,,,,,,,,,,,,8.0,,,,9.0,,,,,,,18.0,,,,,12.0,,,,,,,,,11.0,10.0,9.0,5.0,5.0,12.0,,,14.0,,,10.0,,24.0,,,,,,,10.0,,,,,,,,,14.0,,,12.0,,,,,13.0,,,,,,,13.5,,13.5,,,17.0,16.0,13.0,,
Don't Worry Be Happy,Bobby McFerrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't You (Forget About Me),Simple Minds,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,26.0,,,,,19.0,,,,28.0,,,28.0,,,,,27.0,30.0,,20.0,,,,27.0,,,,,30.0,13.5,,28.0,14.5,25.0,,14.0,14.0,14.5,28.0,15.5,,,14.5,13.0,14.5,,14.5,14.5,,,,,,,15.0,,16.0,,,15.0
Don't You Want Me,The Human League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dream A Little Dream Of Me,The Mamas & The Papas,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreams,The Cranberries,,,8.0,13.0,25.0,,28.0,,11.0,6.0,19.0,,5.0,9.0,6.0,,10.0,,,,,14.0,,11.0,,25.0,8.0,,,11.0,6.0,,,11.0,25.0,6.0,,,,,,,7.0,20.0,,26.0,26.0,,25.0,,,,,,,4.0,20.0,,13.0,,,,,,,,21.0,,,,,,,22.0,,,,,,15.0,12.0,5.0,,11.0,,13.0,14.0,19.0,,,,26.0,,,,20.0,14.0,,14.5,10.0,15.5,14.0,,14.5,,,,,,,,13.5,14.5,,,15.0,,,,,
Driving Home for Christmas,Chris Rea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enter Sandman,Metallica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,,,,,,,,,,
Every Breath You Take,The Police,,18.0,21.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,14.0,,,,,,,,,,
