song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Where's Me Jumper?,Sultans Of Ping F.C.,1993,Group,male,00:03:00,english,Jeremie,new,,,
Whiskey in the Jar,Thin Lizzy,1972,Group,male,00:05:45,english,Mischa,new,20230516,,
White Flag,Dido,2003,Person,female,00:03:58,english,Jeremie,new,20220524,2.494,"regular,valentines,womens"
Whole Again,Atomic Kitten,2000,Group,female,00:03:02,english,Mischa,new,,3.125,
Why Don't You Get A Job,The Offspring,1998,Group,male,00:02:50,english,Mischa,new,20220426,1.661,regular
Wind of Change,Scorpions,1990,Group,male,00:05:02,english,Mischa,old,,,
With Or Without You,U2,1987,Group,male,00:04:40,english,Mischa,off,20220308,1.742,"regular,valentines,paddys"
Wrecking Ball,Miley Cyrus,2013,Person,female,00:03:32,english,Mischa,new,20220621,2.584,"regular,womens,pride"
You Gotta Be,Des'ree,1994,Person,female,00:04:10,english,Mischa,new,,,
You Never Can Tell,Chuck Berry,1964,Person,male,00:02:30,english,Mischa,new,,,
You Oughta Know,Alanis Morissette,1995,Person,female,00:04:06,english,Mischa,new,20230620,2.824,pride
You're So Vain,Carly Simon,1972,Person,female,00:04:10,english,Mischa,new,20220621,2.047,"regular,womens"
You're The One That I Want,"John Travolta, Olivia Newton-John",1978,Person,duet,00:02:42,english,Mischa,old,20220809,2.313,"regular,valentines"
You've Got The Love,Florence + The Machine,2009,Group,female,00:02:38,english,Annalisa,old,20220503,2.929,"regular,valentines,womens,pride"
Zombie,The Cranberries,1994,Group,female,00:05:06,english,Mischa,new,20211123,2.018,"regular,womens,paddys,halloween,halloween2024"
Ça Plane Pour Moi,Plastic Bertrand,1977,Person,male,00:03:08,french,Bastien,new,20220712,2.02,bastille
