song,artist,year,type,gender,duration,language,tabber,source,date,difficulty,specialbooks
Do They Know It's Christmas?,Band Aid,1984,Group,ensemble,00:03:34,english,Mischa,new,20211214,2.419,xmas
Dog Days Are Over,Florence + The Machine,2008,Group,female,00:04:10,english,Annalisa,new,20230926,1.826,"regular,womens"
Don't Be a Dick at Christmas,Seán Carabini,2018,Person,male,00:03:46,english,Mischa,off,20211207,2.695,xmas
Don't Speak,No Doubt,1995,Group,female,00:04:16,english,Mischa,new,,,
Don't Stop Me Now,Queen,1978,Group,male,00:03:29,english,Mischa,old,20211005,3.084,"regular,pride"
Don't Worry Be Happy,Bobby McFerrin,1988,Person,male,00:04:38,english,Mischa,old,,,
Don't You (Forget About Me),Simple Minds,1985,Group,male,00:04:30,english,Mischa,new,20220510,2.134,"regular,valentines"
Don't You Want Me,The Human League,1981,Group,duet,00:03:36,english,Mischa,old,,,
Dream A Little Dream Of Me,The Mamas & The Papas,1968,Group,female,00:03:10,english,Bastien,new,20240702,3.667,usa
Dreams,The Cranberries,1992,Group,female,00:04:32,english,Mischa,off,20220222,2.362,"regular,valentines,womens,paddys"
Driving Home for Christmas,Chris Rea,1986,Person,male,00:03:56,english,Mischa,new,20221206,3.667,xmas
Enter Sandman,Metallica,1991,Group,male,00:05:06,english,Mischa,new,20211102,,halloween
Every Breath You Take,The Police,1983,Group,male,00:03:34,english,Mischa,new,20221101,2.667,"halloween,halloween2024"
Everybody (Backstreet's Back) (Radio Edit),Backstreet Boys,1997,Group,male,00:03:40,english,Mischa,new,20241015,3.901,"halloween,halloween2024"
Ex's & Oh's,Elle King,2014,Person,female,00:03:32,english,Mischa,off,20220906,2.08,"regular,womens,halloween2024"
Express Yourself,Madonna,1989,Person,female,00:03:56,english,Mischa,new,20230620,1.263,pride
Eye of the Tiger,Survivor,1982,Group,male,00:04:05,english,Mischa,old,20210914,4.049,regular
Fairytale Of New York (feat. Kirsty MacColl),The Pogues,1988,Group,duet,00:04:00,english,Mischa,new,20221206,2.772,xmas
Faith,George Michael,1987,Person,male,00:02:28,english,Mischa,old,20211005,3.341,"regular,pride"
Fast Car,Tracy Chapman,1988,Person,female,00:04:52,english,Mischa,new,,,
Feliz Navidad,José Feliciano,1970,Person,male,00:03:00,"spanish,english",Mischa,new,20221206,1.814,xmas
Float On,Modest Mouse,2004,Group,Male,00:03:28,english,Bastien,new,20230110,3.442,
Flowers,Miley Cyrus,2023,Person,female,00:03:16,english,Bea,new,20231003,2.636,"regular,womens,pride"
Flowers Survive My Man,"Gloria Gaynor, Miley Cyrus, Bruno Mars",2023,Group,duet,00:03:00,english,Bea,new,20230516,,
Folsom Prison Blues,Johnny Cash,1955,Person,male,00:02:35,english,Mischa,old,20211005,1.371,regular
Freedom! '90 (Edit),George Michael,1990,Person,male,00:05:18,english,Mischa,new,20230620,2.684,pride
Friday I'm In Love,The Cure,1992,Group,male,00:03:35,english,Mischa,old,20211012,1.941,"regular,valentines"
Fuck Her Gently,Tenacious D,2001,Group,male,00:02:00,english,Bastien,off,20220426,2.785,"regular,valentines"
Fuck You,Cee Lo Green,2010,Person,male,00:03:43,english,Mischa,old,20230926,2.419,regular
Gangsta's Paradise,"Coolio, L.V.",1995,Person,male,00:04:00,english,Mischa,new,20221004,2.915,regular
Ghostbusters,Ray Parker Jr.,1984,Person,male,00:03:58,english,Mischa,new,20211102,3.9,"halloween,halloween2024"
Give Peace A Chance,Plastic Ono Band,1969,Group,male,00:04:40,english,Bastien,new,20220301,4.693,peace
Grace Kelly,MIKA,2007,Person,male,00:02:56,english,Jeremie,new,20230620,3.939,pride
Groove Is in the Heart (in G),Deee-Lite,1990,Group,female,00:03:48,english,Mischa,new,,,
Hand in My Pocket,Alanis Morissette,1995,Person,female,00:03:39,english,Mischa,old,20211102,0.937,"regular,womens,pride"
Happy Birthday To You (in D),Traditional,1893,Group,ensemble,00:00:20,english,Jeremie,off,20220913,0.956,"regular,valentines,womens,paddys,pride,xmas,peace"
Happy Xmas (War is Over),"John Lennon, Yoko Ono",1971,Person,duet,00:03:20,english,Mischa,new,20221206,2.709,xmas
Hate To Say I Told You So,The Hives,2000,Group,male,00:03:21,english,Jeremie,new,20220322,1.705,
Heartbeats,The Knife,2004,Group,female,00:03:50,english,Joh,new,,,
Here Comes the Morning,Ukulele Tuesday,2023,Group,female,00:04:05,english,Mischa,new,,,
Heroes (single version),David Bowie,1977,Person,male,00:03:54,english,Mischa,new,20220426,1.417,"regular,pride"
Hey Jude,The Beatles,1968,Group,male,00:06:50,english,Mischa,old,20211012,2.915,"regular,valentines"
Hey Ya,OutKast,2003,Group,male,00:03:56,english,Annalisa,off,20240702,1.476,usa
Highway to Hell,AC/DC,1979,Group,male,00:03:28,english,Mischa,off,20221101,2.439,"regular,halloween,halloween2024"
Ho Hey,The Lumineers,2012,Group,male,00:02:43,english,Jeremie,off,20220816,1.119,"regular,valentines"
Holding Out for a Hero,Bonnie Tyler,1986,Person,female,00:04:18,english,Mischa,new,20220607,2.965,"regular,valentines,womens,pride"
Hot N Cold,Katy Perry,2007,Person,female,00:03:32,english,Annalisa,old,20220531,1.554,"regular,valentines,womens"
Hotel California,The Eagles,1977,Group,male,00:06:05,english,Mischa,old,20220607,2.823,"regular,halloween2024"
Hotel Yorba,The White Stripes,2001,Group,male,00:02:05,english,Jeremie,new,20220208,1.092,"regular,valentines"
House Of Gold,Twenty One Pilots,2011,Group,male,00:02:40,english,Bastien,off,20220301,1.65,regular
House of the Rising Sun,The Animals,1964,Group,male,00:04:21,english,Mischa,old,20211012,2.848,regular
Hysteria,Muse,2003,Group,male,00:03:44,english,Mischa,new,20221101,,
I Feel Love,Donna Summer,1979,Person,female,00:03:22,english,Mischa,new,20230613,1.8,"valentines,pride"
I Kissed A Girl,Katy Perry,2008,Person,female,00:02:58,english,Mischa,new,20230613,1.295,"regular,valentines,womens,pride"
I Love It (feat. Charli XCX),Icona Pop,2012,Group,female,00:02:32,english,Mischa,new,20230307,3.656,"regular,valentines,womens,pride"
I Love Rock 'N Roll,Joan Jett & The Blackhearts,2015,Group,female,00:02:54,english,Bastien,new,,3.641,
I Love You Always Forever,Donna Lewis,1996,Person,female,00:03:43,english,Mischa,new,,2.361,
I Only Want To Be With You,Dusty Springfield,1963,Person,female,00:02:32,english,Mischa,old,20230307,2.108,"regular,valentines,womens,pride"
I Say a Little Prayer,Aretha Franklin,1968,Person,female,00:03:30,english,Mischa,new,20240625,,pride
I Think We're Alone Now,Tommy James & The Shondells,1966,Group,male,00:02:12,english,Bastien,old,20211116,2.618,"valentines,pride"
I Want to Break Free,Queen,1984,Group,male,00:02:58,english,Mischa,old,20220301,3.749,"regular,pride"
I Will Survive,Gloria Gaynor,1978,Person,female,00:03:12,english,Mischa,old,20211130,1.936,"regular,valentines,womens,pride"
I'm On Fire,Bruce Springsteen,1984,Person,male,00:02:26,english,Mischa,new,20231024,3.137,valentines
I'm Shipping Up To Boston,Dropkick Murphys,2005,Group,male,00:02:30,english,Mischa,new,,,
Imagine,John Lennon,1971,Person,male,00:02:58,english,Mischa,old,20211102,2.01,"regular,peace"
In Bloom,Nirvana,1994,Group,male,00:04:12,english,Bastien,new,20211130,3.583,"regular,pride,halloween2024"
In Too Deep,Sum 41,2001,Group,male,00:03:26,english,Mischa,new,,,
Island In The Sun,Weezer,2001,Group,male,00:03:20,english,Bastien,new,20220517,1.681,regular
Islands in the Stream,"Dolly Parton, Kenny Rogers",1983,Person,duet,00:04:02,english,Mischa,new,,,
It Must Have Been Love,Roxette,1990,Group,female,00:04:16,english,Mischa,new,,3.328,
I’ve Been Everywhere,Johnny Cash,1959,Person,male,00:02:50,english,Mischa,new,,,
Je t'aime... moi non plus,Jane Birkin & Serge Gainsbourg,1969,Person,male,00:04:28,french,Bastien,new,20230718,2.572,"valentines,bastille"
Jeremy,Pearl Jam,1991,Group,male,00:05:12,english,Mischa,new,20221101,1.527,regular
Jingle Bell Rock,Bobby Helms,1957,Person,male,00:02:06,english,Mischa,new,20221206,3.608,xmas
Jolene,Dolly Parton,1973,Person,female,00:02:36,english,Bea,old,20211005,3.546,"regular,valentines,womens,pride"
Jump in the Line,Harry Belafonte,1961,Person,male,00:03:36,english,Bastien,off,20220208,1.961,regular
Just A Girl,No Doubt,1995,Group,female,00:03:16,english,Bastien,off,20211116,2.379,"regular,womens"
Just Can't Get Enough,Depeche Mode,1981,Group,male,00:03:30,english,Mischa,new,20211123,2.078,"regular,valentines,pride"
Karma Chameleon,Culture Club,1983,Group,male,00:03:52,english,Mischa,old,20220301,3.02,"regular,pride"
Kids,MGMT,2005,Group,male,00:04:50,english,Annalisa,old,20220201,3.27,regular
Kids in America,Kim Wilde,1981,Person,female,00:03:30,english,Mischa,old,20230307,3.046,"regular,womens"
Kiss/Mustang Sally Medley,Prince/The Commitments,1966,Group,male,00:05:30,english,Mischa,off,20220315,3.908,"regular,valentines,pride"
L'italiano,Toto Cutugno,1983,Person,male,00:03:52,italian,Mischa,new,20221129,3.027,monopolele
La Marseillaise (abridged),Rouget de Lisle,1909,Person,male,00:01:00,french,Bastien,new,20230718,1.839,bastille
Lady Madonna,The Beatles,1970,Group,male,00:02:10,english,Bastien,old,20210907,2.377,regular
Lambada,Kaoma,1989,Group,female,00:03:04,portuguese,Mischa,new,,,
